시간,규모,진앙(km),위도,경도,위치
2016-09-13 06:48:03,2.0,16,35.78,129.18,경북 경주시 남남서쪽 7km 지역
2016-09-13 07:03:27,2.1,18,35.77,129.19,경북 경주시 남남서쪽 8km 지역
2016-09-13 07:47:42,2.4,17,35.77,129.18,경북 경주시 남남서쪽 8km 지역
2016-09-13 08:24:47,3.2,14,35.76,129.17,경북 경주시 남남서쪽 10km 지역
2016-09-13 08:47:57,2.3,17,35.76,129.17,경북 경주시 남남서쪽 10km 지역
2016-09-13 09:23:27,2.3,17,35.76,129.18,경북 경주시 남남서쪽 9km 지역
2016-09-13 10:01:27,2.3,18,35.78,129.19,경북 경주시 남남서쪽 7km 지역
2016-09-13 10:05:38,2.0,18,35.76,129.18,경북 경주시 남남서쪽 9km 지역
2016-09-13 10:44:13,2.2,18,35.76,129.18,경북 경주시 남남서쪽 9km 지역
2016-09-13 10:58:45,2.0,18,35.76,129.18,경북 경주시 남남서쪽 9km 지역
2016-09-13 12:27:05,2.2,18,35.78,129.19,경북 경주시 남남서쪽 7km 지역
2016-09-13 12:33:58,2.0,18,35.76,129.16,경북 경주시 남남서쪽 10km 지역
2016-09-13 13:09:09,2.3,16,35.77,129.17,경북 경주시 남남서쪽 9km 지역
2016-09-13 13:16:04,2.4,16,35.77,129.17,경북 경주시 남남서쪽 9km 지역
2016-09-13 13:18:08,2.1,16,35.77,129.17,경북 경주시 남남서쪽 9km 지역
2016-09-13 14:31:42,3.0,14,35.76,129.18,경북 경주시 남남서쪽 9km 지역
2016-09-13 14:41:41,2.1,16,35.76,129.17,경북 경주시 남남서쪽 10km 지역
2016-09-13 16:02:48,2.5,17,35.76,129.20,경북 경주시 남쪽 9km 지역
2016-09-13 16:21:33,2.0,18,35.75,129.17,경북 경주시 남남서쪽 10km 지역
2016-09-13 16:52:11,2.5,19,35.75,129.18,경북 경주시 남남서쪽 10km 지역
2016-09-13 17:15:37,2.0,17,35.77,129.18,경북 경주시 남남서쪽 9km 지역
2016-09-13 18:54:03,2.1,18,35.76,129.18,경북 경주시 남남서쪽 9km 지역
2016-09-13 21:49:09,2.1,16,35.76,129.17,경북 경주시 남남서쪽 10km 지역
2016-09-13 23:08:28,2.3,14,35.73,129.36,경북 경주시 남동쪽 18km 지역
2016-09-14 00:48:41,3.0,13,35.75,129.18,경북 경주시 남남서쪽 11km 지역
2016-09-14 01:37:02,2.1,17,35.77,129.18,경북 경주시 남남서쪽 8km 지역
2016-09-14 03:55:17,2.4,19,35.76,129.18,경북 경주시 남남서쪽 9km 지역
2016-09-14 04:43:47,2.1,17,35.77,129.17,경북 경주시 남남서쪽 9km 지역
2016-09-14 11:57:32,2.4,15,33.93,126.62,전남 완도군 남남서쪽 44km 해역
2016-09-14 12:38:10,2.2,18,35.78,129.19,경북 경주시 남남서쪽 7km 지역
2016-09-14 16:47:16,2.1,17,35.77,129.18,경북 경주시 남남서쪽 8km 지역
2016-09-14 17:27:14,2.3,18,35.77,129.17,경북 경주시 남남서쪽 9km 지역
2016-09-14 22:31:31,2.4,18,35.76,129.17,경북 경주시 남남서쪽 10km 지역
2016-09-15 03:22:28,2.7,18,35.76,129.18,경북 경주시 남쪽 9km 지역
